household_id,person_weight,employed,age_centred,age_centred_squared,female,population_group,province,settlement_type,education_band,matric_plus,has_fixed_internet,has_mobile_internet,has_computer,any_home_internet,digital_access_score,smartphone_access,edu_digital_group,household_size,n_children_under15,elderly_in_household,dependency_ratio,female_x_children,other_member_matric
160100090000007201,1139.79439443,Employed,-13,169,0,Black African,Western Cape,Farms,Primary (Grade R-7),0,0,1,0,1,2,1 or more per member,"Below matric, internet",1,0,0,0,0,No other working-age member
160100090000013801,1701.93504168,Employed,-4,16,0,Black African,Western Cape,Farms,Matric,1,0,1,0,1,2,Fewer than 1 per member,"Matric+, internet",3,1,0,0.5,0,No
160100090000013801,1701.93504168,Employed,-10,100,1,Black African,Western Cape,Farms,Some secondary,0,0,1,0,1,2,Fewer than 1 per member,"Below matric, internet",3,1,0,0.5,1,Yes
160100330000001101,1206.19017272,Employed,15,225,0,Coloured,Western Cape,Non-metro urban,Matric,1,1,0,1,1,3,1 or more per member,"Matric+, internet",5,1,0,0.25,0,Yes
160100330000001101,1206.19017272,Employed,9,81,1,Coloured,Western Cape,Non-metro urban,Some secondary,0,1,0,1,1,3,1 or more per member,"Below matric, internet",5,1,0,0.25,1,Yes
160100330000001101,1206.19017272,Employed,-7,49,1,Coloured,Western Cape,Non-metro urban,Matric,1,1,0,1,1,3,1 or more per member,"Matric+, internet",5,1,0,0.25,1,Yes
160100330000008601,1262.55867254,Employed,9,81,0,Coloured,Western Cape,Non-metro urban,Matric,1,0,1,0,1,2,1 or more per member,"Matric+, internet",2,0,0,0,0,Yes
160100330000008601,1262.55867254,Employed,-17,289,0,Coloured,Western Cape,Non-metro urban,Matric,1,0,1,0,1,2,1 or more per member,"Matric+, internet",2,0,0,0,0,Yes
160100630000003601,1266.93184878,Employed,3,9,0,Coloured,Western Cape,Non-metro urban,Matric,1,1,1,0,1,3,1 or more per member,"Matric+, internet",3,0,0,0,0,Yes
160100630000003601,1266.93184878,Employed,-4,16,1,Coloured,Western Cape,Non-metro urban,Matric,1,1,1,0,1,3,1 or more per member,"Matric+, internet",3,0,0,0,0,Yes
160100630000007201,1435.4177784,Unemployed,-10,100,1,Coloured,Western Cape,Non-metro urban,Some secondary,0,0,1,0,1,1,None,"Below matric, internet",3,1,0,0.5,1,Yes
160100630000010801,1046.79571797,Employed,-9,81,1,Coloured,Western Cape,Non-metro urban,Matric,1,0,1,0,1,2,Fewer than 1 per member,"Matric+, internet",3,2,0,2,2,No other working-age member
160100630000021601,1054.4558401,Unemployed,-15,225,0,Coloured,Western Cape,Non-metro urban,Some secondary,0,0,1,0,1,2,Fewer than 1 per member,"Below matric, internet",4,1,0,0.3333333333333333,0,No
