household_id,person_number,education_level_code,education_attendance_code,institution_type_code,reason_not_attending_code,education_level_flag,education_attendance_flag,education_level,education_attendance,institution_type,reason_not_attending
160100090000007201,01,6,2,88,6,NA,NA,Grade 6/Standard 4,No,Not applicable,"Working (at home, business or job)"
160100090000013801,01,12,2,88,6,NA,NA,Grade 12/Standard 10/Form 5/NSC/Matric/NCV 4,No,Not applicable,"Working (at home, business or job)"
160100090000013801,02,10,2,88,6,NA,NA,Grade 10/Standard 8/Form 3/NCV 2,No,Not applicable,"Working (at home, business or job)"
160100330000001101,01,12,2,88,5,NA,NA,Grade 12/Standard 10/Form 5/NSC/Matric/NCV 4,No,Not applicable,No money for fees
160100330000001101,02,10,2,88,6,NA,NA,Grade 10/Standard 8/Form 3/NCV 2,No,Not applicable,"Working (at home, business or job)"
160100330000001101,03,12,2,88,5,NA,NA,Grade 12/Standard 10/Form 5/NSC/Matric/NCV 4,No,Not applicable,No money for fees
160100330000001101,04,12,1,5,88,NA,NA,Grade 12/Standard 10/Form 5/NSC/Matric/NCV 4,Yes,Higher education institution (university / university of technology),Not applicable
160100330000008601,01,12,2,88,2,NA,NA,Grade 12/Standard 10/Form 5/NSC/Matric/NCV 4,No,Not applicable,Completed education / satisfied / doesn't want to study
160100330000008601,02,12,2,88,5,NA,NA,Grade 12/Standard 10/Form 5/NSC/Matric/NCV 4,No,Not applicable,No money for fees
160100330000013601,01,11,2,88,8,NA,NA,Grade 11/Standard 9/Form 4/NCV 3,No,Not applicable,Education useless / not interesting
160100330000013601,02,10,2,88,8,NA,NA,Grade 10/Standard 8/Form 3/NCV 2,No,Not applicable,Education useless / not interesting
160100630000003601,01,12,2,88,2,NA,NA,Grade 12/Standard 10/Form 5/NSC/Matric/NCV 4,No,Not applicable,Completed education / satisfied / doesn't want to study
160100630000003601,02,12,2,88,2,NA,NA,Grade 12/Standard 10/Form 5/NSC/Matric/NCV 4,No,Not applicable,Completed education / satisfied / doesn't want to study
160100630000003601,03,10,1,2,88,NA,NA,Grade 10/Standard 8/Form 3/NCV 2,Yes,School (Grade R-12),Not applicable
160100630000007201,01,12,2,88,5,NA,NA,Grade 12/Standard 10/Form 5/NSC/Matric/NCV 4,No,Not applicable,No money for fees
160100630000007201,02,9,2,88,5,NA,NA,Grade 9/Standard 7/Form 2/ABET/AET 4/NCV 1,No,Not applicable,No money for fees
160100630000010801,01,12,2,88,5,NA,NA,Grade 12/Standard 10/Form 5/NSC/Matric/NCV 4,No,Not applicable,No money for fees
160100630000018001,01,24,2,88,2,NA,NA,Bachelor's Degree/Occupational Cert NQF 7,No,Not applicable,Completed education / satisfied / doesn't want to study
160100630000018001,02,12,2,88,1,NA,NA,Grade 12/Standard 10/Form 5/NSC/Matric/NCV 4,No,Not applicable,Too old/young
160100630000021601,01,9,2,88,7,NA,NA,Grade 9/Standard 7/Form 2/ABET/AET 4/NCV 1,No,Not applicable,Family commitment (e.g. child minding)
160100630000021601,02,9,2,88,8,NA,NA,Grade 9/Standard 7/Form 2/ABET/AET 4/NCV 1,No,Not applicable,Education useless / not interesting
160100630000021601,03,7,1,2,88,NA,NA,Grade 7/Standard 5/ABET/AET 3,Yes,School (Grade R-12),Not applicable
160100920000004701,01,12,2,88,6,NA,NA,Grade 12/Standard 10/Form 5/NSC/Matric/NCV 4,No,Not applicable,"Working (at home, business or job)"
160100920000004701,02,24,2,88,6,NA,NA,Bachelor's Degree/Occupational Cert NQF 7,No,Not applicable,"Working (at home, business or job)"
160100920000004701,03,11,1,2,88,NA,NA,Grade 11/Standard 9/Form 4/NCV 3,Yes,School (Grade R-12),Not applicable
160101410000022701,01,10,2,88,2,NA,NA,Grade 10/Standard 8/Form 3/NCV 2,No,Not applicable,Completed education / satisfied / doesn't want to study
160101410000022701,02,11,2,88,5,NA,NA,Grade 11/Standard 9/Form 4/NCV 3,No,Not applicable,No money for fees
161100010000007501,01,12,2,88,2,NA,NA,Grade 12/Standard 10/Form 5/NSC/Matric/NCV 4,No,Not applicable,Completed education / satisfied / doesn't want to study
161100010000007501,02,12,2,88,2,NA,NA,Grade 12/Standard 10/Form 5/NSC/Matric/NCV 4,No,Not applicable,Completed education / satisfied / doesn't want to study
161100010000047501,01,12,2,88,5,NA,NA,Grade 12/Standard 10/Form 5/NSC/Matric/NCV 4,No,Not applicable,No money for fees
161100010000047501,02,12,2,88,5,NA,NA,Grade 12/Standard 10/Form 5/NSC/Matric/NCV 4,No,Not applicable,No money for fees
161100010000047501,03,12,2,88,5,NA,NA,Grade 12/Standard 10/Form 5/NSC/Matric/NCV 4,No,Not applicable,No money for fees
161100010000087501,01,6,2,88,9,NA,NA,Grade 6/Standard 4,No,Not applicable,Unable to perform at school
161100010000087501,02,8,2,88,8,NA,NA,Grade 8/Standard 6/Form 1,No,Not applicable,Education useless / not interesting
161100010000087501,03,7,1,2,88,NA,NA,Grade 7/Standard 5/ABET/AET 3,Yes,School (Grade R-12),Not applicable
161100270000011101,01,7,2,88,5,NA,NA,Grade 7/Standard 5/ABET/AET 3,No,Not applicable,No money for fees
161100270000018301,01,5,2,88,6,NA,NA,Grade 5/Standard 3/ABET/AET 2,No,Not applicable,"Working (at home, business or job)"
161100270000018301,02,8,2,88,5,NA,NA,Grade 8/Standard 6/Form 1,No,Not applicable,No money for fees
161100270000032701,01,9,2,88,1,NA,NA,Grade 9/Standard 7/Form 2/ABET/AET 4/NCV 1,No,Not applicable,Too old/young
161100270000032701,02,10,2,88,5,NA,NA,Grade 10/Standard 8/Form 3/NCV 2,No,Not applicable,No money for fees
161100270000039901,01,10,2,88,5,NA,NA,Grade 10/Standard 8/Form 3/NCV 2,No,Not applicable,No money for fees
162100390000001901,01,7,2,88,5,NA,NA,Grade 7/Standard 5/ABET/AET 3,No,Not applicable,No money for fees
162100390000001901,02,6,2,88,8,NA,NA,Grade 6/Standard 4,No,Not applicable,Education useless / not interesting
162100390000001901,03,6,2,88,8,NA,NA,Grade 6/Standard 4,No,Not applicable,Education useless / not interesting
162100390000001901,04,7,2,88,9,NA,NA,Grade 7/Standard 5/ABET/AET 3,No,Not applicable,Unable to perform at school
162100390000004901,01,10,2,88,5,NA,NA,Grade 10/Standard 8/Form 3/NCV 2,No,Not applicable,No money for fees
162100390000004901,02,10,2,88,8,NA,NA,Grade 10/Standard 8/Form 3/NCV 2,No,Not applicable,Education useless / not interesting
162100390000004901,03,11,2,88,7,NA,NA,Grade 11/Standard 9/Form 4/NCV 3,No,Not applicable,Family commitment (e.g. child minding)
162100390000004901,04,9,2,88,5,NA,NA,Grade 9/Standard 7/Form 2/ABET/AET 4/NCV 1,No,Not applicable,No money for fees
162100390000004901,05,10,1,2,88,NA,NA,Grade 10/Standard 8/Form 3/NCV 2,Yes,School (Grade R-12),Not applicable
162100390000004901,06,10,1,2,88,NA,NA,Grade 10/Standard 8/Form 3/NCV 2,Yes,School (Grade R-12),Not applicable
162100390000007901,01,9,2,88,1,NA,NA,Grade 9/Standard 7/Form 2/ABET/AET 4/NCV 1,No,Not applicable,Too old/young
162100390000007901,02,12,2,88,5,NA,NA,Grade 12/Standard 10/Form 5/NSC/Matric/NCV 4,No,Not applicable,No money for fees
162100390000007901,03,12,2,88,5,NA,NA,Grade 12/Standard 10/Form 5/NSC/Matric/NCV 4,No,Not applicable,No money for fees
162100390000007901,04,11,2,88,5,NA,NA,Grade 11/Standard 9/Form 4/NCV 3,No,Not applicable,No money for fees
162100390000007901,05,10,1,2,88,NA,NA,Grade 10/Standard 8/Form 3/NCV 2,Yes,School (Grade R-12),Not applicable
162100390000010901,01,10,2,88,1,NA,NA,Grade 10/Standard 8/Form 3/NCV 2,No,Not applicable,Too old/young
162100390000010901,02,10,2,88,8,NA,NA,Grade 10/Standard 8/Form 3/NCV 2,No,Not applicable,Education useless / not interesting
162100390000010901,03,10,2,88,6,NA,NA,Grade 10/Standard 8/Form 3/NCV 2,No,Not applicable,"Working (at home, business or job)"
162100390000010901,04,10,2,88,5,NA,NA,Grade 10/Standard 8/Form 3/NCV 2,No,Not applicable,No money for fees
162100390000010901,05,12,2,88,5,NA,NA,Grade 12/Standard 10/Form 5/NSC/Matric/NCV 4,No,Not applicable,No money for fees
162100390000013901,01,10,2,88,1,NA,NA,Grade 10/Standard 8/Form 3/NCV 2,No,Not applicable,Too old/young
