household_id,fixed_internet_code,mobile_internet_code,computer_asset_code,household_smartphones,fixed_internet,mobile_internet,computer_asset
160100090000003901,2,2,2,0,No,No,No
160100090000007201,2,1,2,1,No,Yes,No
160100090000013801,2,1,2,2,No,Yes,No
160100330000001101,1,2,1,5,Yes,No,Yes
160100330000006101,1,1,2,2,Yes,Yes,No
160100330000008601,2,1,2,2,No,Yes,No
160100330000013601,1,1,2,4,Yes,Yes,No
160100630000003601,1,1,2,3,Yes,Yes,No
160100630000007201,2,1,2,0,No,Yes,No
160100630000010801,2,1,2,1,No,Yes,No
160100630000018001,1,1,2,1,Yes,Yes,No
160100630000021601,2,1,2,2,No,Yes,No
160100920000004701,2,1,1,3,No,Yes,Yes
160101410000005201,2,2,2,1,No,No,No
160101410000008701,2,1,2,1,No,Yes,No
160101410000022701,2,1,2,2,No,Yes,No
161100010000007501,1,1,1,2,Yes,Yes,Yes
161100010000047501,2,1,1,3,No,Yes,Yes
161100010000087501,2,1,2,1,No,Yes,No
161100270000011101,2,1,2,0,No,Yes,No
161100270000018301,2,1,2,1,No,Yes,No
161100270000032701,2,2,2,0,No,No,No
161100270000039901,2,2,2,0,No,No,No
162100390000001901,2,1,2,1,No,Yes,No
162100390000004901,2,1,2,0,No,Yes,No
162100390000007901,1,1,2,4,Yes,Yes,No
162100390000010901,2,1,2,4,No,Yes,No
162100390000013901,1,2,2,4,Yes,No,No
162100390000016901,2,1,2,1,No,Yes,No
162100450000000401,2,1,2,0,No,Yes,No
162100450000002201,1,1,2,0,Yes,Yes,No
162100450000004001,1,1,2,2,Yes,Yes,No
162100450000009401,2,1,2,2,No,Yes,No
162100450000011201,1,1,1,4,Yes,Yes,Yes
162100450000013001,1,2,2,2,Yes,No,No
162100450000014801,1,2,2,1,Yes,No,No
162100580000003101,2,2,2,5,No,No,No
162100580000012401,2,2,1,2,No,No,Yes
162100580000018601,2,1,1,0,No,Yes,Yes
162100580000021701,1,1,1,2,Yes,Yes,Yes
162100580000024801,2,1,1,2,No,Yes,Yes
162100750000001001,2,1,2,2,No,Yes,No
162100750000005201,2,1,2,1,No,Yes,No
162100850000001001,2,1,1,2,No,Yes,Yes
162100850000002901,2,2,2,4,No,No,No
162100850000004801,2,1,2,1,No,Yes,No
162100850000006701,2,2,2,0,No,No,No
162100850000008601,2,2,2,1,No,No,No
162100850000010501,2,2,2,2,No,No,No
162100850000014301,2,1,2,2,No,Yes,No
162100940000024301,2,1,1,4,No,Yes,Yes
163100220000001101,2,1,2,1,No,Yes,No
163100220000003801,2,1,2,3,No,Yes,No
163100220000006501,1,1,2,4,Yes,Yes,No
163100220000009201,1,1,2,1,Yes,Yes,No
163100220000011901,1,1,2,3,Yes,Yes,No
163100220000014601,1,1,2,4,Yes,Yes,No
163100220000017301,2,1,2,4,No,Yes,No
163100220000020001,2,2,2,0,No,No,No
163100940000001701,1,2,2,2,Yes,No,No
163100940000003401,2,1,2,3,No,Yes,No
163100940000005101,2,1,2,1,No,Yes,No
163100940000006801,2,1,2,5,No,Yes,No
163100940000008501,2,2,2,0,No,No,No
163100940000010201,1,1,2,3,Yes,Yes,No
163100940000011901,1,1,2,2,Yes,Yes,No
163101070000001201,1,1,1,2,Yes,Yes,Yes
163101070000003301,2,1,2,6,No,Yes,No
163101070000005401,2,1,1,2,No,Yes,Yes
163101070000011701,1,1,1,2,Yes,Yes,Yes
163101550000002501,2,1,2,4,No,Yes,No
163101550000005001,2,1,2,1,No,Yes,No
163101550000007501,1,1,2,3,Yes,Yes,No
163101550000010001,2,1,2,2,No,Yes,No
163101550000012501,2,1,2,2,No,Yes,No
163101550000015001,2,1,2,1,No,Yes,No
163101550000017501,2,1,2,2,No,Yes,No
163101550000022501,2,1,2,1,No,Yes,No
163101550000025001,2,1,2,2,No,Yes,No
163102320000001701,1,1,2,3,Yes,Yes,No
163102320000004901,2,1,1,4,No,Yes,Yes
163102320000006501,1,1,1,1,Yes,Yes,Yes
163102320000008101,1,1,1,2,Yes,Yes,Yes
163102350000002401,2,1,2,1,No,Yes,No
163102350000005301,1,1,1,4,Yes,Yes,Yes
163102350000008201,1,1,2,2,Yes,Yes,No
163102350000011101,2,1,2,2,No,Yes,No
163102850000000401,1,1,2,3,Yes,Yes,No
163102850000001101,1,1,1,2,Yes,Yes,Yes
163102850000001801,2,1,2,2,No,Yes,No
163102850000003201,2,1,1,2,No,Yes,Yes
164100490000002001,2,1,2,2,No,Yes,No
164100490000004401,2,1,2,1,No,Yes,No
164100490000006801,2,1,2,3,No,Yes,No
164100490000009201,2,1,2,1,No,Yes,No
164100490000011601,2,1,2,1,No,Yes,No
164100490000014001,2,1,2,1,No,Yes,No
164100570000000101,1,1,2,2,Yes,Yes,No
164100570000001901,2,1,2,2,No,Yes,No
164100570000003701,1,2,2,5,Yes,No,No
164100570000005501,1,1,2,4,Yes,Yes,No
164100570000007301,1,1,2,2,Yes,Yes,No
164100570000009101,1,2,2,3,Yes,No,No
164100570000010901,2,1,2,1,No,Yes,No
164100570000012701,1,1,1,2,Yes,Yes,Yes
164100590000001201,2,1,1,2,No,Yes,Yes
164100590000004601,2,1,2,3,No,Yes,No
164100590000008001,2,1,2,1,No,Yes,No
164100590000011401,2,1,1,2,No,Yes,Yes
164101180000000301,1,2,1,2,Yes,No,Yes
164101180000003901,1,1,1,2,Yes,Yes,Yes
164101180000005101,2,1,1,1,No,Yes,Yes
164101180000006301,2,1,1,2,No,Yes,Yes
164101180000007501,1,1,1,2,Yes,Yes,Yes
164101280000002701,1,1,1,2,Yes,Yes,Yes
164101280000015101,2,1,1,1,No,Yes,Yes
164101280000021301,2,2,1,1,No,No,Yes
164101280000024401,2,1,1,1,No,Yes,Yes
164101600000000801,2,1,1,2,No,Yes,Yes
164101600000002501,2,1,1,2,No,Yes,Yes
164101600000004201,2,1,1,3,No,Yes,Yes
164101600000005901,2,1,2,3,No,Yes,No
164101600000007601,2,1,2,4,No,Yes,No
164101600000009301,2,2,2,1,No,No,No
164101600000011001,2,1,1,5,No,Yes,Yes
165100330000003601,2,1,1,2,No,Yes,Yes
165100330000007601,2,1,2,1,No,Yes,No
165100330000015601,2,1,1,2,No,Yes,Yes
165100330000019601,2,1,2,2,No,Yes,No
165100330000023601,2,2,2,2,No,No,No
165100330000027601,2,1,2,1,No,Yes,No
165100510000001501,1,1,1,1,Yes,Yes,Yes
165100510000003101,1,1,1,2,Yes,Yes,Yes
165100510000004701,1,2,1,2,Yes,No,Yes
165100510000006301,1,1,1,1,Yes,Yes,Yes
165100510000007901,1,1,1,1,Yes,Yes,Yes
165100510000009501,1,1,1,1,Yes,Yes,Yes
165100510000011101,1,1,1,2,Yes,Yes,Yes
165100640000000801,2,1,2,2,No,Yes,No
165100640000000802,2,1,2,1,No,Yes,No
165100640000004201,2,1,1,1,No,Yes,Yes
165100640000007601,2,1,1,2,No,Yes,Yes
165100640000011001,1,1,1,3,Yes,Yes,Yes
165100640000014401,2,1,1,2,No,Yes,Yes
165100640000017801,2,1,1,3,No,Yes,Yes
165100790040000201,2,2,2,0,No,No,No
165100790040000401,2,1,2,2,No,Yes,No
165100790040000601,2,1,2,0,No,Yes,No
165100790040000801,2,1,2,4,No,Yes,No
165100790040001201,2,1,2,3,No,Yes,No
165100790040001401,2,1,2,2,No,Yes,No
165100790040001601,2,1,2,1,No,Yes,No
165101390000013901,1,1,1,2,Yes,Yes,Yes
165101390000021801,2,1,2,2,No,Yes,No
165101390000029701,2,1,2,1,No,Yes,No
165101390000037601,2,1,2,1,No,Yes,No
165101390000045501,2,1,2,1,No,Yes,No
165101390000053401,2,1,2,1,No,Yes,No
165101650000005201,2,2,2,0,No,No,No
165101650000014101,2,2,2,0,No,No,No
165101790000005201,2,1,2,0,No,Yes,No
166100310000007801,1,1,1,3,Yes,Yes,Yes
166100310000015201,2,1,1,6,No,Yes,Yes
166100310000022601,2,1,2,3,No,Yes,No
166100310000026301,2,2,2,0,No,No,No
166100500000001201,2,2,2,0,No,No,No
166100500000005001,1,1,2,5,Yes,Yes,No
166100500000008801,2,1,2,3,No,Yes,No
166100920000001801,1,1,1,4,Yes,Yes,Yes
166100920000005701,1,1,1,2,Yes,Yes,Yes
166100920000009601,2,1,2,1,No,Yes,No
166100920000017401,1,1,1,3,Yes,Yes,Yes
166101210000001501,2,1,2,7,No,Yes,No
166101210000005401,2,1,2,0,No,Yes,No
166101210000009301,2,1,2,3,No,Yes,No
166101210000013201,2,1,2,2,No,Yes,No
166101210000017101,2,2,2,0,No,No,No
166101210000021001,2,1,2,2,No,Yes,No
166101240000001501,1,1,1,2,Yes,Yes,Yes
166101240000008001,1,1,1,1,Yes,Yes,Yes
166101240000014501,1,1,1,2,Yes,Yes,Yes
166101240000021001,1,1,1,3,Yes,Yes,Yes
166101240000034001,1,1,1,2,Yes,Yes,Yes
166101240000040501,1,1,1,2,Yes,Yes,Yes
166101240000047001,1,1,1,4,Yes,Yes,Yes
166101240000053501,1,1,1,4,Yes,Yes,Yes
166101240000060001,1,1,1,2,Yes,Yes,Yes
166101550000001701,1,1,1,5,Yes,Yes,Yes
166101550000003801,1,1,1,3,Yes,Yes,Yes
166101550000005901,1,1,1,5,Yes,Yes,Yes
166101550000005902,2,1,2,1,No,Yes,No
166101550000008001,1,1,1,2,Yes,Yes,Yes
166101590000000701,1,1,1,2,Yes,Yes,Yes
166101590000007301,1,1,1,3,Yes,Yes,Yes
166101590000010601,1,1,1,4,Yes,Yes,Yes
166101590000013901,1,1,1,2,Yes,Yes,Yes
166101590000017201,1,1,1,2,Yes,Yes,Yes
166101610000000501,2,1,1,4,No,Yes,Yes
166101610000003201,2,1,1,2,No,Yes,Yes
166101610000008601,2,1,2,2,No,Yes,No
166101610000011301,1,1,1,2,Yes,Yes,Yes
166101610000014001,1,1,1,2,Yes,Yes,Yes
166101820000003601,1,1,1,2,Yes,Yes,Yes
166101820000008801,1,1,1,4,Yes,Yes,Yes
166101820000014001,1,1,1,5,Yes,Yes,Yes
166101820000019201,2,1,1,2,No,Yes,Yes
166101820000024401,1,1,1,1,Yes,Yes,Yes
166101910000000901,2,1,1,1,No,Yes,Yes
166101910000007901,1,1,1,9,Yes,Yes,Yes
166101910000011401,2,1,2,3,No,Yes,No
166101910000021901,1,1,1,2,Yes,Yes,Yes
166101910000021902,1,1,1,4,Yes,Yes,Yes
166101910000025401,2,2,2,2,No,No,No
166101910000028901,1,1,2,2,Yes,Yes,No
166101930000002101,2,1,2,4,No,Yes,No
166101930000009701,2,1,2,1,No,Yes,No
166101930000017301,1,1,2,5,Yes,Yes,No
166101930000024901,2,1,2,2,No,Yes,No
166101930000032501,2,1,2,1,No,Yes,No
166101930000040101,2,1,2,3,No,Yes,No
166101930000047701,2,2,2,0,No,No,No
166101990000009101,2,1,1,3,No,Yes,Yes
166101990000025301,2,1,2,2,No,Yes,No
166101990000033401,2,1,2,2,No,Yes,No
166101990000041501,2,1,2,1,No,Yes,No
166102700000001601,2,1,2,2,No,Yes,No
166102700000004201,1,1,2,3,Yes,Yes,No
166102700000009401,2,1,2,1,No,Yes,No
166102700000012001,2,1,2,3,No,Yes,No
166102700000014601,2,1,2,1,No,Yes,No
166102700000022401,2,1,2,2,No,Yes,No
166102700000025001,2,1,2,1,No,Yes,No
166102700000027601,2,1,1,2,No,Yes,Yes
166102940000001101,1,1,1,4,Yes,Yes,Yes
166102940000004601,1,1,1,5,Yes,Yes,Yes
166102940000008101,1,1,1,2,Yes,Yes,Yes
166102940000011601,1,1,1,4,Yes,Yes,Yes
166102940000015101,1,1,1,3,Yes,Yes,Yes
166102960000001101,2,1,1,4,No,Yes,Yes
166102960000003601,1,1,1,1,Yes,Yes,Yes
166102960000008601,1,1,1,3,Yes,Yes,Yes
166102960000011101,1,1,1,2,Yes,Yes,Yes
166102960000013601,2,1,1,3,No,Yes,Yes
166102960000016101,1,1,2,2,Yes,Yes,No
166102960000018601,1,1,2,2,Yes,Yes,No
166103420000000601,2,1,1,1,No,Yes,Yes
166103420000003101,1,1,1,3,Yes,Yes,Yes
166103420000005601,1,1,1,3,Yes,Yes,Yes
166103420000010601,1,1,1,2,Yes,Yes,Yes
166103420000013101,1,1,1,2,Yes,Yes,Yes
166103710000008201,2,1,2,3,No,Yes,No
166103710000014701,1,1,1,1,Yes,Yes,Yes
166103710000021201,2,1,2,2,No,Yes,No
166103710000027701,2,1,1,3,No,Yes,Yes
167100220000001901,2,2,2,0,No,No,No
167100220000005001,1,1,1,1,Yes,Yes,Yes
167100220000011201,2,1,2,1,No,Yes,No
167100220000014301,2,1,2,0,No,Yes,No
167100490290000101,1,1,1,3,Yes,Yes,Yes
167100490290000201,2,1,2,1,No,Yes,No
167100490290000301,2,1,2,1,No,Yes,No
167100490290000401,1,1,2,2,Yes,Yes,No
167100490290000501,2,1,1,1,No,Yes,Yes
167100490290000601,1,1,2,2,Yes,Yes,No
167100490290000701,1,1,2,2,Yes,Yes,No
167100490290000801,2,2,2,0,No,No,No
167100510030000301,2,2,2,2,No,No,No
167100510030000901,1,2,2,2,Yes,No,No
167100510030001201,1,1,2,1,Yes,Yes,No
167100510030001501,1,1,2,1,Yes,Yes,No
167100510030001801,1,2,2,2,Yes,No,No
167100510030002101,1,2,2,2,Yes,No,No
167100510030002401,1,2,2,1,Yes,No,No
167100510030003001,2,1,2,1,No,Yes,No
167100510030003901,2,2,2,2,No,No,No
167100510030004801,2,2,1,1,No,No,Yes
167100600020000101,1,2,1,13,Yes,No,Yes
167100600020000501,1,1,1,6,Yes,Yes,Yes
167100600020000601,1,1,1,5,Yes,Yes,Yes
167100600020000801,1,1,2,4,Yes,Yes,No
167100600020000901,1,1,2,4,Yes,Yes,No
167100600020001001,1,1,2,3,Yes,Yes,No
167100610110000101,2,1,2,2,No,Yes,No
