SurveyYear,Province,HouseholdID,PersonNumber,ProvinceCode,Age,SexCode,EducationLevelCode,WageWorkCode,BusinessWorkCode,VolunteerWorkCode,RetiredCode,SalaryAmountRaw,SalaryPeriodCode,SalaryCategoryCode,TransportToWorkCode,MinutesToWork,SectorCode,LookingForWorkCode,CouldStartWorkCode,EmploymentStatus1Code,EmploymentStatus2Code,LabSalaryRaw,GeoTypeCode,PersonWeight
2024,Western Cape,160100090000003901,01,1,81,1,12,2,1,2,8,2,8,20,1,8,1,8,8,1,1,999999999,3,746.936306163
2024,Western Cape,160100090000003901,02,1,78,2,10,2,2,2,2,8,8,88,88,8,8,2,2,9,3,888888888,3,746.936306163
2024,Western Cape,160100090000007201,01,1,27,1,6,1,2,2,8,1,2,88,2,1,1,8,8,1,1,4800,3,1139.79439443
2024,Western Cape,160100090000013801,01,1,36,1,12,1,2,2,8,3,8,88,10,1,1,8,8,1,1,999999999,3,1701.93504168
2024,Western Cape,160100090000013801,02,1,30,2,10,1,2,2,8,1,2,88,10,1,1,8,8,1,1,5000,3,1701.93504168
2024,Western Cape,160100090000013801,03,1,3,2,98,8,8,8,8,8,8,88,88,8,8,8,8,8,8,888888888,3,1701.93504168
2024,Western Cape,160100330000001101,01,1,55,1,12,1,2,2,8,2,8,13,9,2,1,8,8,1,1,33427,1,1206.19017272
2024,Western Cape,160100330000001101,02,1,49,2,10,1,2,2,8,2,8,11,9,2,1,8,8,1,1,13352,1,1206.19017272
2024,Western Cape,160100330000001101,03,1,33,2,12,1,2,2,8,2,8,4,9,1,1,8,8,1,1,1249,1,1206.19017272
2024,Western Cape,160100330000001101,04,1,21,1,12,2,2,2,2,8,8,88,88,8,8,2,2,9,3,888888888,1,1206.19017272
2024,Western Cape,160100330000001101,05,1,10,1,5,8,8,8,8,8,8,88,88,8,8,8,8,8,8,888888888,1,1206.19017272
2024,Western Cape,160100330000006101,01,1,73,1,12,2,2,2,2,8,8,88,88,8,8,2,2,9,3,888888888,1,767.82132945
2024,Western Cape,160100330000006101,02,1,67,2,12,2,2,2,2,8,8,88,88,8,8,2,2,9,3,888888888,1,767.82132945
