SurveyYear,Province,HouseholdID,ProvinceCode,IncomeSalaryCode,IncomeBusinessCode,IncomeRemittanceCode,IncomePensionCode,IncomeGrantCode,IncomeAgricultureCode,NoIncomeCode,OtherIncomeCode,MainIncomeSourceCode,RequiredIncomeRaw,ComparativeIncomeCode,ExpenditureBandCode,TotalMonthlyHouseholdIncomeRaw,VehicleAssetCode,TotalVehicles,TVAssetCode,PayTVAssetCode,ComputerAssetCode,WashingMachineAssetCode,FreezerAssetCode,FridgeAssetCode,MicrowaveAssetCode,GeyserAssetCode,SolarPanelAssetCode,RadioAssetCode,HouseholdSize,SalaryEarnersInHousehold,SocialGrantRecipients,TotalGrantRecipients,HouseholdWeight
2024,Western Cape,160100090000003901,1,2,1,2,2,2,2,2,2,2,20000,3,10,9999999,1,1,1,1,2,1,1,1,1,1,2,1,2,0,0,0,733.483542661
2024,Western Cape,160100090000007201,1,1,2,2,2,2,2,2,2,1,4000,3,8,4800,2,88,1,2,2,1,2,1,2,2,2,1,1,4800,0,0,2081.32314676
2024,Western Cape,160100090000013801,1,1,2,2,2,2,2,2,2,1,5000,3,8,5000,2,88,1,2,2,2,2,1,2,2,2,2,3,5000,0,0,1643.88083753
2024,Western Cape,160100330000001101,1,1,2,2,2,1,2,2,2,1,10000,2,10,48028,1,2,1,1,1,1,1,1,1,1,2,2,5,48028,0,0,989.747226372
2024,Western Cape,160100330000006101,1,2,2,2,1,2,2,2,2,4,20000,2,10,30000,1,2,1,2,2,1,2,1,1,2,1,2,2,0,0,0,682.243326315
2024,Western Cape,160100330000008601,1,1,2,2,2,2,2,2,2,1,10000,2,9,18609,1,1,1,1,2,1,2,1,1,2,2,2,2,18609,0,0,1430.29164908
2024,Western Cape,160100330000013601,1,1,2,2,2,1,2,2,1,7,10000,2,9,4460,2,88,1,1,2,1,2,1,1,1,2,2,4,0,3,4460,1194.11578044
2024,Western Cape,160100630000003601,1,1,2,2,2,2,2,2,2,1,10000,2,10,46779,1,1,1,1,2,1,1,1,1,2,2,2,3,46779,0,0,1373.07998312
2024,Western Cape,160100630000007201,1,2,2,1,2,1,2,2,2,3,2000,4,7,2480,2,88,2,2,2,2,2,1,2,2,2,2,3,0,1,480,1373.07998312
2024,Western Cape,160100630000010801,1,1,2,2,2,2,2,2,1,1,2000,2,8,3929,2,88,1,1,2,1,2,1,1,2,2,2,3,3929,0,0,1960.12316462
2024,Western Cape,160100630000018001,1,2,2,2,2,1,2,2,1,7,10000,3,10,1990,2,88,1,2,2,1,2,1,1,1,2,2,2,0,1,1990,1074.82108569
2024,Western Cape,160100630000021601,1,2,2,2,2,1,2,2,2,5,2000,3,7,1920,2,88,1,1,2,1,1,1,1,2,2,2,4,0,2,1920,1074.82108569
2024,Western Cape,160100920000004701,1,1,2,2,2,2,2,2,2,1,30000,2,11,9999999,1,1,1,1,1,1,1,1,1,1,2,2,3,0,0,0,1067.29048996
