SurveyYear,Province,HouseholdID,ProvinceCode,TaxiUseCode,BusUseCode,TrainUseCode,TaxiTrips,TaxiCostRaw,TaxiDistanceRaw,BusTrips,BusCostRaw,BusDistanceRaw,TrainTrips,TrainCostRaw,TrainDistanceRaw,NearestHealthFacilityCode,TransportToHealthFacilityCode,TimeToHealthFacilityRaw,GeoTypeCode,HouseholdWeight
2024,Western Cape,160100090000003901,1,2,2,2,888,8888,888,888,8888,888,888,8888,888,6,5,3,3,733.483542661
2024,Western Cape,160100090000007201,1,2,2,2,888,8888,888,888,8888,888,888,8888,888,2,7,2,3,2081.32314676
2024,Western Cape,160100090000013801,1,2,2,2,888,8888,888,888,8888,888,888,8888,888,2,1,3,3,1643.88083753
2024,Western Cape,160100330000001101,1,2,2,2,888,8888,888,888,8888,888,888,8888,888,6,5,1,1,989.747226372
2024,Western Cape,160100330000006101,1,2,2,2,888,8888,888,888,8888,888,888,8888,888,6,5,1,1,682.243326315
2024,Western Cape,160100330000008601,1,2,2,2,888,8888,888,888,8888,888,888,8888,888,2,5,1,1,1430.29164908
2024,Western Cape,160100330000013601,1,2,2,2,888,8888,888,888,8888,888,888,8888,888,2,1,1,1,1194.11578044
2024,Western Cape,160100630000003601,1,2,2,2,888,8888,888,888,8888,888,888,8888,888,3,5,3,1,1373.07998312
2024,Western Cape,160100630000007201,1,2,2,2,888,8888,888,888,8888,888,888,8888,888,2,1,1,1,1373.07998312
2024,Western Cape,160100630000010801,1,2,2,2,888,8888,888,888,8888,888,888,8888,888,2,1,1,1,1960.12316462
2024,Western Cape,160100630000018001,1,2,2,2,888,8888,888,888,8888,888,888,8888,888,2,5,1,1,1074.82108569
2024,Western Cape,160100630000021601,1,2,2,2,888,8888,888,888,8888,888,888,8888,888,2,1,1,1,1074.82108569
2024,Western Cape,160100920000004701,1,2,2,2,888,8888,888,888,8888,888,888,8888,888,6,5,1,3,1067.29048996
2024,Western Cape,160101410000005201,1,2,2,2,888,8888,888,888,8888,888,888,8888,888,2,5,1,1,727.726214736
2024,Western Cape,160101410000008701,1,2,2,2,888,8888,888,888,8888,888,888,8888,888,6,1,1,1,898.748128134
2024,Western Cape,160101410000022701,1,1,2,2,2,300,0,888,8888,888,888,8888,888,2,1,1,1,1717.93847876
2024,Western Cape,161100010000007501,1,2,2,2,888,8888,888,888,8888,888,888,8888,888,2,1,1,3,1061.02007583
2024,Western Cape,161100010000047501,1,2,2,2,888,8888,888,888,8888,888,888,8888,888,6,5,2,3,1440.95760995
2024,Western Cape,161100010000087501,1,1,2,2,1,20,0,888,8888,888,888,8888,888,2,1,1,3,1622.57763521
2024,Western Cape,161100270000011101,1,2,2,2,888,8888,888,888,8888,888,888,8888,888,2,1,1,1,1305.37027197
2024,Western Cape,161100270000018301,1,1,2,2,2,30,0,888,8888,888,888,8888,888,6,2,1,1,1305.37027197
2024,Western Cape,161100270000032701,1,1,2,2,2,30,0,888,8888,888,888,8888,888,2,1,1,1,897.105687807
2024,Western Cape,161100270000039901,1,1,2,2,2,30,0,888,8888,888,888,8888,888,2,1,2,1,1652.73376276
2024,Western Cape,162100390000001901,1,2,2,2,888,8888,888,888,8888,888,888,8888,888,2,1,1,1,945.444473524
2024,Western Cape,162100390000004901,1,2,2,2,888,8888,888,888,8888,888,888,8888,888,6,1,1,1,1360.03462902
2024,Western Cape,162100390000007901,1,2,2,2,888,8888,888,888,8888,888,888,8888,888,2,5,1,1,945.444473524
2024,Western Cape,162100390000010901,1,2,2,2,888,8888,888,888,8888,888,888,8888,888,2,1,1,1,945.444473524
2024,Western Cape,162100390000013901,1,2,2,2,888,8888,888,888,8888,888,888,8888,888,6,5,1,1,835.786546714
2024,Western Cape,162100390000016901,1,2,2,2,888,8888,888,888,8888,888,888,8888,888,2,1,1,1,1744.55230514
2024,Western Cape,162100450000000401,1,2,2,2,888,8888,888,888,8888,888,888,8888,888,2,1,1,1,791.797781097
2024,Western Cape,162100450000002201,1,2,2,2,888,8888,888,888,8888,888,888,8888,888,6,5,1,1,1288.45385907
2024,Western Cape,162100450000004001,1,2,2,2,888,8888,888,888,8888,888,888,8888,888,6,5,1,1,1144.23331926
2024,Western Cape,162100450000009401,1,2,2,2,888,8888,888,888,8888,888,888,8888,888,2,1,1,1,1288.45385907
2024,Western Cape,162100450000011201,1,2,2,2,888,8888,888,888,8888,888,888,8888,888,6,5,1,1,791.797781097
2024,Western Cape,162100450000013001,1,2,2,2,888,8888,888,888,8888,888,888,8888,888,6,5,1,1,545.794661052
2024,Western Cape,162100450000014801,1,2,2,2,888,8888,888,888,8888,888,888,8888,888,6,5,1,1,999.091556421
2024,Western Cape,162100580000003101,1,2,2,2,888,8888,888,888,8888,888,888,8888,888,5,5,1,1,815.420817369
2024,Western Cape,162100580000012401,1,2,2,2,888,8888,888,888,8888,888,888,8888,888,6,5,1,1,815.420817369
2024,Western Cape,162100580000018601,1,2,2,2,888,8888,888,888,8888,888,888,8888,888,6,5,1,1,1179.54637992
2024,Western Cape,162100580000021701,1,2,2,2,888,8888,888,888,8888,888,888,8888,888,6,5,1,1,1179.54637992
2024,Western Cape,162100580000024801,1,2,2,2,888,8888,888,888,8888,888,888,8888,888,1,5,1,1,1179.54637992
2024,Western Cape,162100750000001001,1,1,2,2,2,74,2,888,8888,888,888,8888,888,2,1,2,1,999.091556421
2024,Western Cape,162100750000005201,1,2,2,2,888,8888,888,888,8888,888,888,8888,888,2,1,2,1,1574.55942914
2024,Western Cape,162100850000001001,1,1,2,2,2,225,0,888,8888,888,888,8888,888,2,5,1,1,1054.59664289
2024,Western Cape,162100850000002901,1,2,1,2,888,8888,888,10,88,0,888,8888,888,6,7,1,1,1207.801837
2024,Western Cape,162100850000004801,1,1,2,2,2,28,0,888,8888,888,888,8888,888,2,1,2,1,1409.67707097
2024,Western Cape,162100850000006701,1,1,2,2,10,60,0,888,8888,888,888,8888,888,2,5,1,1,1377.89084263
2024,Western Cape,162100850000008601,1,2,2,2,888,8888,888,888,8888,888,888,8888,888,2,5,1,1,985.352932922
2024,Western Cape,162100850000010501,1,2,2,2,888,8888,888,888,8888,888,888,8888,888,2,1,1,1,1377.89084263
2024,Western Cape,162100850000014301,1,2,2,2,888,8888,888,888,8888,888,888,8888,888,9,1,2,1,1744.55230514
2024,Western Cape,162100940000024301,1,2,2,2,888,8888,888,888,8888,888,888,8888,888,5,5,3,3,997.127962459
2024,Western Cape,163100220000001101,1,2,2,2,888,8888,888,888,8888,888,888,8888,888,2,1,1,1,1335.48354092
2024,Western Cape,163100220000003801,1,2,2,2,888,8888,888,888,8888,888,888,8888,888,2,1,2,1,1144.23331926
2024,Western Cape,163100220000006501,1,1,2,2,10,100,0,888,8888,888,888,8888,888,6,5,1,1,1144.23331926
2024,Western Cape,163100220000009201,1,2,2,2,888,8888,888,888,8888,888,888,8888,888,6,5,1,1,1144.23331926
2024,Western Cape,163100220000011901,1,1,2,2,5,50,0,888,8888,888,888,8888,888,2,1,1,1,1144.23331926
2024,Western Cape,163100220000014601,1,1,2,2,10,90,0,888,8888,888,888,8888,888,2,1,2,1,1305.37027197
2024,Western Cape,163100220000017301,1,1,2,2,2,64,0,888,8888,888,888,8888,888,2,1,2,1,1288.45385907
2024,Western Cape,163100220000020001,1,2,2,2,888,8888,888,888,8888,888,888,8888,888,2,1,1,1,791.797781097
2024,Western Cape,163100940000001701,1,2,2,2,888,8888,888,888,8888,888,888,8888,888,5,5,1,1,999.091556421
2024,Western Cape,163100940000003401,1,2,2,2,888,8888,888,888,8888,888,888,8888,888,2,1,2,1,1288.45385907
2024,Western Cape,163100940000005101,1,2,2,2,888,8888,888,888,8888,888,888,8888,888,2,1,1,1,895.684238075
2024,Western Cape,163100940000006801,1,2,2,2,888,8888,888,888,8888,888,888,8888,888,2,1,1,1,545.794661052
2024,Western Cape,163100940000008501,1,2,2,2,888,8888,888,888,8888,888,888,8888,888,2,1,1,1,791.797781097
2024,Western Cape,163100940000010201,1,2,2,2,888,8888,888,888,8888,888,888,8888,888,6,5,1,1,1288.45385907
2024,Western Cape,163100940000011901,1,2,2,2,888,8888,888,888,8888,888,888,8888,888,6,1,1,1,1144.23331926
2024,Western Cape,163101070000001201,1,2,2,2,888,8888,888,888,8888,888,888,8888,888,4,5,1,1,694.197382732
2024,Western Cape,163101070000003301,1,2,2,2,888,8888,888,888,8888,888,888,8888,888,5,5,1,1,893.49412743
2024,Western Cape,163101070000005401,1,2,2,2,888,8888,888,888,8888,888,888,8888,888,1,5,1,1,2152.88411767
2024,Western Cape,163101070000011701,1,2,2,2,888,8888,888,888,8888,888,888,8888,888,6,5,1,1,1138.58547098
2024,Western Cape,163101550000002501,1,2,2,2,888,8888,888,888,8888,888,888,8888,888,2,1,1,1,1305.37027197
2024,Western Cape,163101550000005001,1,2,2,2,888,8888,888,888,8888,888,888,8888,888,2,5,1,1,1305.37027197
2024,Western Cape,163101550000007501,1,1,2,2,2,22,0,888,8888,888,888,8888,888,6,2,1,1,1335.48354092
2024,Western Cape,163101550000010001,1,1,2,2,2,24,0,888,8888,888,888,8888,888,2,1,1,1,1335.48354092
2024,Western Cape,163101550000012501,1,2,2,2,888,8888,888,888,8888,888,888,8888,888,2,1,1,1,999.091556421
2024,Western Cape,163101550000015001,1,1,2,2,2,24,0,888,8888,888,888,8888,888,2,1,1,1,1574.55942914
2024,Western Cape,163101550000017501,1,1,2,2,10,350,0,888,8888,888,888,8888,888,6,2,1,1,999.091556421
2024,Western Cape,163101550000022501,1,2,2,2,888,8888,888,888,8888,888,888,8888,888,2,1,1,1,1652.73376276
2024,Western Cape,163101550000025001,1,1,2,2,2,24,0,888,8888,888,888,8888,888,2,2,1,1,1305.37027197
2024,Western Cape,163102320000001701,1,2,2,2,888,8888,888,888,8888,888,888,8888,888,6,5,1,1,943.720726544
2024,Western Cape,163102320000004901,1,2,2,2,888,8888,888,888,8888,888,888,8888,888,6,5,2,1,943.720726544
2024,Western Cape,163102320000006501,1,2,2,2,888,8888,888,888,8888,888,888,8888,888,6,5,1,1,893.49412743
2024,Western Cape,163102320000008101,1,2,2,2,888,8888,888,888,8888,888,888,8888,888,6,5,2,1,694.197382732
2024,Western Cape,163102350000002401,1,2,2,2,888,8888,888,888,8888,888,888,8888,888,5,1,1,1,1652.73376276
2024,Western Cape,163102350000005301,1,1,2,2,2,54,0,888,8888,888,888,8888,888,6,5,1,1,791.797781097
2024,Western Cape,163102350000008201,1,2,2,2,888,8888,888,888,8888,888,888,8888,888,2,1,1,1,674.061096101
2024,Western Cape,163102350000011101,1,2,2,2,888,8888,888,888,8888,888,888,8888,888,6,1,1,1,895.684238075
2024,Western Cape,163102850000000401,1,2,2,2,888,8888,888,888,8888,888,888,8888,888,6,5,1,1,791.797781097
2024,Western Cape,163102850000001101,1,2,2,2,888,8888,888,888,8888,888,888,8888,888,6,5,1,1,842.533128517
2024,Western Cape,163102850000001801,1,2,2,2,888,8888,888,888,8888,888,888,8888,888,6,1,1,1,674.061096101
2024,Western Cape,163102850000003201,1,2,2,2,888,8888,888,888,8888,888,888,8888,888,6,5,1,1,582.443440978
2024,Western Cape,164100490000002001,1,2,2,2,888,8888,888,888,8888,888,888,8888,888,2,5,1,1,1144.23331926
2024,Western Cape,164100490000004401,1,2,1,2,888,8888,888,10,300,0,888,8888,888,2,1,1,1,674.061096101
2024,Western Cape,164100490000006801,1,2,2,2,888,8888,888,888,8888,888,888,8888,888,6,5,1,1,791.797781097
2024,Western Cape,164100490000009201,1,2,2,2,888,8888,888,888,8888,888,888,8888,888,2,1,1,1,895.684238075
2024,Western Cape,164100490000011601,1,2,2,2,888,8888,888,888,8888,888,888,8888,888,2,1,1,1,1633.43597051
2024,Western Cape,164100490000014001,1,2,2,2,888,8888,888,888,8888,888,888,8888,888,2,5,1,1,895.684238075
2024,Western Cape,164100570000000101,1,2,1,2,888,8888,888,4,100,0,888,8888,888,6,5,1,1,1144.23331926
2024,Western Cape,164100570000001901,1,2,1,2,888,8888,888,10,250,0,888,8888,888,2,5,1,1,791.797781097
2024,Western Cape,164100570000003701,1,2,2,2,888,8888,888,888,8888,888,888,8888,888,2,1,1,1,791.797781097
2024,Western Cape,164100570000005501,1,2,2,2,888,8888,888,888,8888,888,888,8888,888,2,5,1,1,791.797781097
2024,Western Cape,164100570000007301,1,2,2,2,888,8888,888,888,8888,888,888,8888,888,6,5,1,1,1144.23331926
2024,Western Cape,164100570000009101,1,2,2,2,888,8888,888,888,8888,888,888,8888,888,6,5,1,1,1288.45385907
2024,Western Cape,164100570000010901,1,2,2,2,888,8888,888,888,8888,888,888,8888,888,2,1,1,1,674.061096101
2024,Western Cape,164100570000012701,1,2,2,2,888,8888,888,888,8888,888,888,8888,888,6,5,1,1,545.794661052
2024,Western Cape,164100590000001201,1,2,2,2,888,8888,888,888,8888,888,888,8888,888,6,5,2,3,1067.29048996
2024,Western Cape,164100590000004601,1,1,2,2,2,80,0,888,8888,888,888,8888,888,2,2,2,3,691.392933403
2024,Western Cape,164100590000008001,1,1,2,2,2,80,0,888,8888,888,888,8888,888,2,2,2,3,853.876213496
2024,Western Cape,164100590000011401,1,2,2,2,888,8888,888,888,8888,888,888,8888,888,6,5,2,3,1067.29048996
2024,Western Cape,164101180000000301,1,2,2,2,888,8888,888,888,8888,888,888,8888,888,6,5,2,1,694.197382732
2024,Western Cape,164101180000003901,1,2,2,2,888,8888,888,888,8888,888,888,8888,888,6,5,3,1,694.197382732
2024,Western Cape,164101180000005101,1,2,2,2,888,8888,888,888,8888,888,888,8888,888,6,5,1,1,1688.65551373
2024,Western Cape,164101180000006301,1,2,2,2,888,8888,888,888,8888,888,888,8888,888,6,5,1,1,1969.84526177
2024,Western Cape,164101180000007501,1,2,2,2,888,8888,888,888,8888,888,888,8888,888,6,5,1,1,1067.53997054
2024,Western Cape,164101280000002701,1,2,2,2,888,8888,888,888,8888,888,888,8888,888,6,5,2,1,1004.19071026
2024,Western Cape,164101280000015101,1,2,2,2,888,8888,888,888,8888,888,888,8888,888,6,5,1,1,1004.19071026
2024,Western Cape,164101280000021301,1,2,2,2,888,8888,888,888,8888,888,888,8888,888,6,5,1,1,1004.19071026
2024,Western Cape,164101280000024401,1,2,2,2,888,8888,888,888,8888,888,888,8888,888,6,5,1,1,893.49412743
2024,Western Cape,164101600000000801,1,2,2,2,888,8888,888,888,8888,888,888,8888,888,6,5,1,1,895.684238075
2024,Western Cape,164101600000002501,1,2,2,2,888,8888,888,888,8888,888,888,8888,888,6,5,1,1,999.091556421
2024,Western Cape,164101600000004201,1,2,2,2,888,8888,888,888,8888,888,888,8888,888,6,5,1,1,1144.23331926
2024,Western Cape,164101600000005901,1,2,2,2,888,8888,888,888,8888,888,888,8888,888,6,1,3,1,895.684238075
2024,Western Cape,164101600000007601,1,2,2,2,888,8888,888,888,8888,888,888,8888,888,2,1,1,1,791.797781097
2024,Western Cape,164101600000009301,1,2,2,2,888,8888,888,888,8888,888,888,8888,888,2,5,1,1,545.794661052
2024,Western Cape,164101600000011001,1,2,2,2,888,8888,888,888,8888,888,888,8888,888,6,5,1,1,895.684238075
2024,Western Cape,165100330000003601,1,1,2,2,10,150,0,888,8888,888,888,8888,888,6,2,2,1,1335.48354092
2024,Western Cape,165100330000007601,1,2,2,2,888,8888,888,888,8888,888,888,8888,888,2,1,2,1,1305.37027197
2024,Western Cape,165100330000015601,1,2,2,2,888,8888,888,888,8888,888,888,8888,888,6,5,2,1,933.492252242
2024,Western Cape,165100330000019601,1,1,2,2,2,34,5,888,8888,888,888,8888,888,6,1,2,1,897.105687807
2024,Western Cape,165100330000023601,1,2,2,2,888,8888,888,888,8888,888,888,8888,888,2,1,2,1,1652.73376276
2024,Western Cape,165100330000027601,1,1,2,2,2,34,0,888,8888,888,888,8888,888,6,2,2,1,1574.55942914
2024,Western Cape,165100510000001501,1,2,2,2,888,8888,888,888,8888,888,888,8888,888,4,5,3,1,1178.8717492
2024,Western Cape,165100510000003101,1,2,2,2,888,8888,888,888,8888,888,888,8888,888,6,5,3,1,718.759990994
2024,Western Cape,165100510000004701,1,2,2,2,888,8888,888,888,8888,888,888,8888,888,6,5,3,1,977.112155397
2024,Western Cape,165100510000006301,1,2,2,2,888,8888,888,888,8888,888,888,8888,888,6,5,2,1,1605.38958619
2024,Western Cape,165100510000007901,1,2,2,2,888,8888,888,888,8888,888,888,8888,888,6,5,3,1,1748.40477944
2024,Western Cape,165100510000009501,1,2,2,2,888,8888,888,888,8888,888,888,8888,888,6,5,2,1,1178.8717492
2024,Western Cape,165100510000011101,1,2,2,2,888,8888,888,888,8888,888,888,8888,888,6,5,2,1,831.820076039
2024,Western Cape,165100640000000801,1,2,2,2,888,8888,888,888,8888,888,888,8888,888,6,5,1,1,1335.48354092
2024,Western Cape,165100640000000802,1,2,2,2,888,8888,888,888,8888,888,888,8888,888,6,1,2,1,674.061096101
2024,Western Cape,165100640000004201,1,2,2,2,888,8888,888,888,8888,888,888,8888,888,6,5,2,1,895.684238075
2024,Western Cape,165100640000007601,1,2,2,2,888,8888,888,888,8888,888,888,8888,888,6,5,1,1,791.797781097
2024,Western Cape,165100640000011001,1,2,2,2,888,8888,888,888,8888,888,888,8888,888,6,5,1,1,791.797781097
2024,Western Cape,165100640000014401,1,2,2,2,888,8888,888,888,8888,888,888,8888,888,6,1,2,1,895.684238075
2024,Western Cape,165100640000017801,1,2,2,2,888,8888,888,888,8888,888,888,8888,888,2,5,1,1,674.061096101
2024,Western Cape,165100790040000201,1,2,2,2,888,8888,888,888,8888,888,888,8888,888,2,1,2,1,1790.22208727
2024,Western Cape,165100790040000401,1,2,2,2,888,8888,888,888,8888,888,888,8888,888,6,5,2,1,2266.60630321
2024,Western Cape,165100790040000601,1,1,2,2,1,17,0,888,8888,888,888,8888,888,2,1,2,1,2159.39578854
2024,Western Cape,165100790040000801,1,2,2,2,888,8888,888,888,8888,888,888,8888,888,6,2,2,1,1831.52028468
2024,Western Cape,165100790040001201,1,1,2,2,2,34,0,888,8888,888,888,8888,888,2,1,2,1,1790.22208727
2024,Western Cape,165100790040001401,1,2,2,2,888,8888,888,888,8888,888,888,8888,888,2,1,2,1,2266.60630321
2024,Western Cape,165100790040001601,1,2,2,2,888,8888,888,888,8888,888,888,8888,888,2,1,2,1,1831.52028468
2024,Western Cape,165101390000013901,1,2,2,2,888,8888,888,888,8888,888,888,8888,888,6,5,3,3,1728.72371727
2024,Western Cape,165101390000021801,1,2,2,2,888,8888,888,888,8888,888,888,8888,888,6,5,3,3,1440.95760995
2024,Western Cape,165101390000029701,1,1,2,2,2,100,1,888,8888,888,888,8888,888,6,2,3,3,1258.17746873
2024,Western Cape,165101390000037601,1,2,2,2,888,8888,888,888,8888,888,888,8888,888,2,1,2,3,1175.56685516
2024,Western Cape,165101390000045501,1,2,2,2,888,8888,888,888,8888,888,888,8888,888,2,1,1,3,1643.88083753
2024,Western Cape,165101390000053401,1,1,2,2,2,100,0,888,8888,888,888,8888,888,2,1,2,3,2081.32314676
2024,Western Cape,165101650000005201,1,2,2,2,888,8888,888,888,8888,888,888,8888,888,2,2,2,3,1994.59492776
2024,Western Cape,165101650000014101,1,1,2,2,2,120,0,888,8888,888,888,8888,888,2,2,2,3,2093.62334576
2024,Western Cape,165101790000005201,1,2,2,2,888,8888,888,888,8888,888,888,8888,888,6,2,2,3,848.859624734
2024,Western Cape,166100310000007801,1,2,2,2,888,8888,888,888,8888,888,888,8888,888,6,5,2,3,1210.1301404
2024,Western Cape,166100310000015201,1,2,2,2,888,8888,888,888,8888,888,888,8888,888,2,1,1,3,1003.02078712
2024,Western Cape,166100310000022601,1,1,2,2,2,40,1,888,8888,888,888,8888,888,2,2,2,3,2069.17760061
2024,Western Cape,166100310000026301,1,1,2,2,4,48,0,888,8888,888,888,8888,888,2,1,2,3,1449.4733781
2024,Western Cape,166100500000001201,1,2,2,2,888,8888,888,888,8888,888,888,8888,888,2,1,3,1,1194.24565077
2024,Western Cape,166100500000005001,1,2,2,2,888,8888,888,888,8888,888,888,8888,888,2,1,2,1,1055.7303748
